年份,省份,城市,员工人数,营业额,利润
2017,河南,郑州,347,83044,40691.56
2017,河南,开封,640,31492,-4093.96
2017,河南,洛阳,628,36446,5466.9
2017,河南,平顶山,165,46996,-5169.56
2017,河南,安阳,856,81737,22886.36
2017,河南,鹤壁,964,2978,923.18
2017,河南,新乡,46,92466,-5547.96
2017,河南,焦作,493,55318,6084.98
2017,河南,濮阳,40,78008,-17941.84
2017,河南,许昌,448,23921,-6937.09
2017,河南,漯河,391,23012,920.48
2017,河南,三门峡,889,33440,3678.4
2017,河南,南阳,236,89732,26919.6
2017,河南,商丘,960,88410,-9725.1
2017,河南,信阳,451,51493,24201.71
2017,河南,周口,663,75369,30901.29
2017,河南,驻马店,199,63811,-17228.97
2017,河南,济源,737,69121,27648.4
2017,湖北,武汉,887,31906,-6700.26
2017,湖北,宜昌,98,29700,12177
2017,湖北,荆州,32,84066,31945.08
2017,湖北,襄樊,942,35785,-5367.75
2017,湖北,黄石,76,27744,7213.44
2017,湖北,荆门,707,89708,38574.44
2017,湖北,黄冈,895,60258,22898.04
2017,湖北,十堰,597,74204,-5936.32
2017,湖北,恩施,189,24039,10336.77
2017,湖北,潜江,91,37741,6038.56
2017,湖北,天门,45,92316,10154.76
2017,湖北,仙桃,511,99070,-19814
2017,湖北,随州,835,73140,11702.4
2017,湖北,咸宁,360,10170,-508.5
2017,湖北,孝感,317,62291,18064.39
2017,湖北,鄂州,153,60363,-8450.82
2017,湖南,长沙,213,13610,-2449.8
2017,湖南,常德,399,96285,-27922.65
2017,湖南,株洲,719,4418,-574.34
2017,湖南,湘潭,800,86814,37330.02
2017,湖南,衡阳,950,60851,-3651.06
2017,湖南,岳阳,569,24165,7491.15
2017,湖南,邵阳,371,64093,1922.79
2017,湖南,益阳,58,73130,26326.8
2017,湖南,娄底,699,63455,7614.6
2017,湖南,怀化,269,31828,15277.44
2017,湖南,郴州,970,71360,31398.4
2017,湖南,永州,456,21923,10303.81
2017,湖南,湘西,923,74301,33435.45
2017,湖南,张家界,268,54320,11950.4
2017,广东,广州,146,12215,3664.5
2017,广东,深圳,370,74101,28158.38
2017,广东,珠海,50,67455,-1349.1
2017,广东,汕头,482,36178,14832.98
2017,广东,东莞,442,28554,-7709.58
2017,广东,中山,964,40444,-8897.68
2017,广东,佛山,775,73588,-7358.8
2017,广东,韶关,134,51547,19587.86
2017,广东,江门,762,96119,-961.19
2017,广东,湛江,972,97738,12705.94
2017,广东,茂名,444,88609,5316.54
2017,广东,肇庆,504,88741,-7986.69
2017,广东,惠州,837,47680,6198.4
2017,广东,梅州,269,95281,-16197.77
2017,广东,汕尾,563,25614,-1536.84
2017,广东,河源,763,10428,2189.88
2017,广东,阳江,107,58023,-10444.14
2017,广东,清远,475,10542,1265.04
2017,广东,潮州,883,49692,3478.44
2017,广东,揭阳,125,34596,3113.64
2017,广东,云浮,830,48888,21999.6
2017,广西,南宁,452,90022,14403.52
2017,广西,柳州,56,79823,25543.36
2017,广西,桂林,136,1857,-259.98
2017,广西,梧州,336,8144,81.44
2017,广西,北海,208,70281,-3514.05
2017,广西,防城港,304,76785,-16124.85
2017,广西,钦州,556,91377,25585.56
2017,广西,贵港,647,1072,64.32
2017,广西,玉林,630,26193,7857.9
2017,广西,南宁地区,521,924,240.24
2017,广西,柳州地区,229,58408,-5256.72
2017,广西,贺州,787,32549,15298.03
2017,广西,百色,638,16322,6855.24
2017,广西,河池,747,48160,9150.4
2017,海南,海口,909,20440,-5723.2
2017,海南,三亚,572,32914,-6253.66
2017,海南,儋州,450,97719,3908.76
2017,海南,琼海,459,99528,-17915.04
2017,海南,万宁,735,71516,-15018.36
2017,海南,陵水,972,40245,-2817.15
2017,四川,成都,71,55834,10050.12
2017,四川,绵阳,815,41100,17673
2017,四川,德阳,960,78701,14166.18
2017,四川,自贡,581,50125,-12030
2017,四川,攀枝花,490,51931,-11424.82
2017,四川,广元,384,97025,4851.25
2017,四川,内江,933,13642,3956.18
2017,四川,乐山,61,94059,-24455.34
2017,四川,南充,906,74241,-16333.02
2017,四川,宜宾,766,19124,-3442.32
2017,四川,广安,709,82848,22368.96
2017,四川,达川,475,4893,1223.25
2017,四川,雅安,172,32601,9454.29
2017,四川,眉山,280,67198,-2015.94
2017,四川,甘孜,738,56861,19332.74
2017,四川,凉山,434,69662,-13932.4
2017,四川,泸州,685,59428,17828.4
2017,贵州,贵阳,68,86661,5199.66
2017,贵州,六盘水,395,31428,-1571.4
2017,贵州,遵义,223,92801,31552.34
2017,贵州,安顺,499,83596,-22570.92
2017,贵州,铜仁,532,68578,16458.72
2017,贵州,黔西南,118,54419,-15781.51
2017,贵州,毕节,765,85389,-23908.92
2017,贵州,黔东南,950,4942,1630.86
2017,贵州,黔南,95,65284,-3917.04
2017,云南,昆明,874,72583,11613.28
2017,云南,大理,169,9645,-1832.55
2017,云南,曲靖,328,26146,6536.5
2017,云南,玉溪,634,87960,-20230.8
2017,云南,昭通,995,99516,23883.84
2017,云南,楚雄,408,37554,9012.96
2017,云南,红河,856,55309,2765.45
2017,云南,文山,108,42008,7141.36
2017,云南,思茅,244,80861,25875.52
2017,云南,西双版纳,193,49674,-4967.4
2017,云南,保山,165,8372,418.6
2017,云南,德宏,244,93814,-28144.2
2017,云南,丽江,844,98040,43137.6
2017,云南,怒江,509,34945,8037.35
2017,云南,迪庆,150,25621,-7686.3
2017,云南,临沧,228,24498,734.94
2017,西藏,拉萨,229,10763,5166.24
2017,西藏,日喀则,820,72192,23823.36
2017,西藏,山南,664,6839,-1367.8
2017,西藏,林芝,61,9083,1907.43
2017,西藏,昌都,317,50359,12589.75
2017,西藏,阿里,30,36116,-6139.72
2017,西藏,那曲,853,24274,-4126.58
2017,陕西,西安,714,79647,17522.34
2017,陕西,宝鸡,925,27674,-8025.46
2017,陕西,咸阳,358,66859,-18051.93
2017,陕西,铜川,310,30258,-6959.34
2017,陕西,渭南,18,13540,-1354
2017,陕西,延安,950,7167,2221.77
2017,陕西,榆林,569,61749,13584.78
2017,陕西,汉中,296,31367,5646.06
2017,陕西,安康,728,88772,12428.08
2017,陕西,商洛,966,76555,-3062.2
2017,甘肃,兰州,547,58875,20606.25
2017,甘肃,嘉峪关,116,81057,18643.11
2017,甘肃,金昌,881,10057,4123.37
2017,甘肃,白银,958,76356,16798.32
2017,甘肃,天水,921,25680,-2054.4
2017,甘肃,酒泉,772,38153,18694.97
2017,甘肃,张掖,581,88147,2644.41
2017,甘肃,武威,354,21616,7133.28
2017,甘肃,定西,685,48383,5805.96
2017,甘肃,陇南,893,85222,24714.38
2017,甘肃,平凉,660,5206,1093.26
2017,甘肃,庆阳,306,96846,-13558.44
2017,甘肃,临夏,236,52571,16822.72
2017,甘肃,甘南,554,28708,-287.08
2017,宁夏,银川,281,50514,12628.5
2017,宁夏,石嘴山,812,97088,33980.8
2017,宁夏,吴忠,606,51912,20245.68
2017,宁夏,固原,152,66442,-14617.24
2017,青海,西宁,566,13125,1443.75
2017,青海,海东,527,21625,9731.25
2017,青海,海南,178,60691,-3034.55
2017,青海,海北,593,33737,15181.65
2017,青海,黄南,599,59897,-17370.13
2017,青海,玉树,395,34266,-3426.6
2017,青海,果洛,633,98198,20621.58
2017,青海,海西,101,45319,3172.33
2017,新疆,乌鲁木齐,664,28062,4209.3
2017,新疆,石河子,433,96982,-17456.76
2017,新疆,克拉玛依,13,93732,-14059.8
2017,新疆,伊犁,447,69076,-12433.68
2017,新疆,巴音郭勒,793,28674,-1146.96
2017,新疆,昌吉,982,58338,1750.14
2017,新疆,克孜勒苏柯尔克孜,335,12324,-2957.76
2017,新疆,博 尔塔拉,192,37209,1860.45
2017,新疆,吐鲁番,852,29142,6702.66
2017,新疆,哈密,372,38638,-1931.9
2017,新疆,喀什,715,93643,20601.46
2017,新疆,和田,622,39272,3927.2
2017,新疆,阿克苏,941,70626,-18362.76
2017,台湾,台北,76,81648,35925.12
2017,台湾,高雄,361,75545,-19641.7
2017,台湾,台中,388,7129,1639.67
2017,台湾,台南,153,51491,8238.56
2017,台湾,屏东,439,71724,-14344.8
2017,台湾,南投,80,82015,-18863.45
2017,台湾,云林,103,83149,22450.23
2017,台湾,新竹,482,28222,-3386.64
2017,台湾,彰化,883,63817,11487.06
2017,台湾,苗栗,873,82712,-5789.84
2017,台湾,嘉义,835,3372,843
2017,台湾,花莲,777,57774,14443.5
2017,台湾,桃园,477,61582,17858.78
2017,台湾,宜兰,670,7787,-1090.18
2017,台湾,基隆,103,18435,-5161.8
2017,台湾,台东,282,36171,-9404.46
2017,台湾,金门,534,68753,-19938.37
2017,台湾,马祖,554,39588,-7917.6
2017,台湾,澎湖,36,58230,15722.1
2016,北京,北京,845,21424,11722.1
2016,上海,上海,912,33724,3222.1
2016,香港,香港,1450,23724,-722.1
2016,澳门,澳门,423,41724,-321.1
2016,河北,石家庄,599,81333,-10573.29
2016,河北,邯郸,629,65588,32794
2016,河北,邢台,877,75008,36753.92
2016,河北,保定,641,98562,17741.16
2016,河北,张家口,242,97685,-27351.8
2016,河北,承德,221,56098,-2243.92
2016,河北,廊坊,365,39267,8246.07
2016,河北,唐山,299,25470,7386.3
2016,河北,秦皇岛,972,8499,-2039.76
2016,河北,沧州,289,45392,9078.4
2016,河北,衡水,415,50678,-14189.84
2016,山西,太原,770,15881,2382.15
2016,山西,大同,821,53649,3218.94
2016,山西,阳泉,763,33429,3342.9
2016,山西,长治,71,57325,10891.75
2016,山西,晋城,707,49662,0
2016,山西,朔州,346,95086,27574.94
2016,山西,吕梁,740,29722,12483.24
2016,山西,忻州,605,45993,-4139.37
2016,山西,晋中,708,3183,-604.77
2016,山西,临汾,913,79339,34115.77
2016,山西,运城,941,93509,9350.9
2016,内蒙古,呼和浩特,375,9594,3261.96
2016,内蒙古,包头,331,26631,-4793.58
2016,内蒙古,乌海,347,19168,-5175.36
2016,内蒙古,赤峰,917,98940,21766.8
2016,内蒙古,呼伦贝尔盟,545,29138,5827.6
2016,内蒙古,阿拉善盟,184,49001,-3920.08
2016,内蒙古,哲里木盟,93,36735,-4775.55
2016,内蒙古,兴安盟,417,34769,-7301.49
2016,内蒙古,乌兰察布盟,394,4388,-1272.52
2016,内蒙古,锡林郭勒盟,381,2189,-612.92
2016,内蒙古,巴彦淖尔盟,290,23486,-6106.36
2016,内蒙古,伊克昭盟,671,23679,5209.38
2016,辽宁,沈阳,797,70415,23236.95
2016,辽宁,大连,719,93489,19632.69
2016,辽宁,鞍山,954,4492,494.12
2016,辽宁,抚顺,85,84500,38870
2016,辽宁,本溪,896,41824,15474.88
2016,辽宁,丹东,298,77422,24775.04
2016,辽宁,锦州,404,91057,33691.09
2016,辽宁,营口,427,67702,-12863.38
2016,辽宁,阜新,337,66686,32676.14
2016,辽宁,辽阳,247,22417,-1345.02
2016,辽宁,盘锦,539,51198,24063.06
2016,辽宁,铁岭,572,20996,3359.36
2016,辽宁,朝阳,257,65117,-13674.57
2016,辽宁,葫芦岛,636,59798,-2391.92
2016,吉林,长春,526,98152,44168.4
2016,吉林,吉林,654,51660,20664
2016,吉林,四平,232,693,124.74
2016,吉林,辽源,507,15246,304.92
2016,吉林,通化,326,16027,-641.08
2016,吉林,白山,205,15801,-4108.26
2016,吉林,松原,597,17737,-2483.18
2016,吉林,白城,970,93484,13087.76
2016,吉林,延边,349,36421,12018.93
2016,黑龙江,哈尔滨,135,90694,20859.62
2016,黑龙江,齐齐哈尔,422,9869,1184.28
2016,黑龙江,牡丹江,540,87187,8718.7
2016,黑龙江,佳木斯,551,15063,5422.68
2016,黑龙江,大庆,571,95254,19050.8
2016,黑龙江,绥化,312,5450,1035.5
2016,黑龙江,鹤岗,282,53338,8534.08
2016,黑龙江,鸡西,770,72727,-7272.7
2016,黑龙江,黑河,772,24890,8960.4
2016,黑龙江,双鸭山,840,46403,13456.87
2016,黑龙江,伊春,973,25702,10280.8
2016,黑龙江,七台河,137,76014,-2280.42
2016,黑龙江,大兴安岭,728,76510,30604
2016,江苏,南京,645,43070,9475.4
2016,江苏,镇江,115,91573,-21061.79
2016,江苏,苏州,891,54226,18979.1
2016,江苏,南通,998,61309,11035.62
2016,江苏,扬州,997,87141,-24399.48
2016,江苏,盐城,592,47595,-951.9
2016,江苏,徐州,123,50615,4555.35
2016,江苏,连云港,388,83970,26870.4
2016,江苏,常州,707,82567,24770.1
2016,江苏,无锡,348,16316,-3263.2
2016,江苏,宿迁,359,93344,41071.36
2016,江苏,泰州,836,93561,12162.93
2016,江苏,淮安,731,80338,36152.1
2016,浙江,杭州,198,87138,5228.28
2016,浙江,宁波,349,60205,12643.05
2016,浙江,温州,694,55835,6700.2
2016,浙江,嘉兴,57,48240,10130.4
2016,浙江,湖州,965,57179,-11435.8
2016,浙江,绍兴,949,80246,-16049.2
2016,浙江,金华,298,48579,4372.11
2016,浙江,衢州,816,75123,24790.59
2016,浙江,舟山,779,953,-152.48
2016,浙江,台州,523,56154,-13476.96
2016,浙江,丽水,288,64255,8353.15
2016,安徽,合肥,931,93990,36656.1
2016,安徽,芜湖,480,60522,7262.64
2016,安徽,蚌埠,352,32450,10708.5
2016,安徽,马鞍山,765,47411,-9008.09
2016,安徽,淮北,424,5176,983.44
2016,安徽,铜陵,615,8753,2538.37
2016,安徽,安庆,614,22634,11090.66
2016,安徽,黄山,518,50806,18798.22
2016,安徽,滁州,518,51727,-4138.16
2016,安徽,宿州,401,64861,11026.37
2016,安徽,池州,775,44450,444.5
2016,安徽,淮南,974,41177,-9882.48
2016,安徽,巢湖,853,89110,-24059.7
2016,安徽,阜阳,133,33941,9164.07
2016,安徽,六安,606,38271,16456.53
2016,安徽,宣城,346,8713,4095.11
2016,安徽,亳州,628,84000,25200
2016,福建,福州,468,84765,39839.55
2016,福建,厦门,256,38718,-774.36
2016,福建,莆田,319,32528,-325.28
2016,福建,三明,836,19003,-3420.54
2016,福建,泉州,203,34308,7890.84
2016,福建,漳州,846,55868,-1117.36
2016,福建,南平,708,67378,-1347.56
2016,福建,龙岩,219,24919,2242.71
2016,福建,宁德,350,9786,0
2016,江西,南昌市,26,88307,-19427.54
2016,江西,景德镇,57,52400,-6812
2016,江西,九江,833,27022,5134.18
2016,江西,鹰潭,912,83132,-9975.84
2016,江西,萍乡,562,92611,-11113.32
2016,江西,新馀,480,65084,7159.24
2016,江西,赣州,643,34546,-1381.84
2016,江西,吉安,236,87007,-8700.7
2016,江西,宜春,660,53994,-6479.28
2016,江西,抚州,189,36504,-4745.52
2016,江西,上饶,363,83779,-22620.33
2016,山东,济南,316,30614,8878.06
2016,山东,青岛,179,34945,-1397.8
2016,山东,淄博,268,50641,-7596.15
2016,山东,枣庄,556,92631,19452.51
2016,山东,东营,157,57887,-9261.92
2016,山东,烟台,99,30118,-5722.42
2016,山东,潍坊,862,12282,3193.32
2016,山东,济宁,632,80552,33831.84
2016,山东,泰安,839,17167,7896.82
2016,山东,威海,951,81987,-5739.09
2016,山东,日照,14,76049,9125.88
2016,山东,莱芜,100,42823,-4710.53
2016,山东,临沂,751,86691,39877.86
2016,山东,德州,371,94219,44282.93
2016,山东,聊城,193,44934,10784.16
2016,山东,滨州,876,32686,16016.14
2016,山东,菏泽,198,6681,1603.44
2016,山东,博兴,291,93311,-25193.97
2016,河南,郑州,347,38803,16297.26
2016,河南,开封,640,76431,35922.57
2016,河南,洛阳,628,8042,2090.92
2016,河南,平顶山,165,22858,1142.9
2016,河南,安阳,856,82670,2480.1
2016,河南,鹤壁,964,64055,-17294.85
2016,河南,新乡,46,663,165.75
2016,河南,焦作,493,30375,-5163.75
2016,河南,濮阳,40,42076,20617.24
2016,河南,许昌,448,95683,5740.98
2016,河南,漯河,391,3892,-583.8
2016,河南,三门峡,889,75319,-16570.18
2016,河南,南阳,236,31628,-3795.36
2016,河南,商丘,960,71650,-15763
2016,河南,信阳,451,64911,3894.66
2016,河南,周口,663,65700,7884
2016,河南,驻马店,199,96015,30724.8
2016,河南,济源,737,16553,1489.77
2016,湖北,武汉,887,94038,15046.08
2016,湖北,宜昌,98,77285,13138.45
2016,湖北,荆州,32,99044,39617.6
2016,湖北,襄樊,942,64300,-12860
2016,湖北,黄石,76,24231,6542.37
2016,湖北,荆门,707,9829,4128.18
2016,湖北,黄冈,895,54367,-10329.73
2016,湖北,十堰,597,33881,10503.11
2016,湖北,恩施,189,71814,27289.32
2016,湖北,潜江,91,25856,7239.68
2016,湖北,天门,45,9231,4246.26
2016,湖北,仙桃,511,97089,-12621.57
2016,湖北,随州,835,24712,-5436.64
2016,湖北,咸宁,360,51150,23017.5
2016,湖北,孝感,317,82959,14932.62
2016,湖北,鄂州,153,46159,23079.5
2016,湖南,长沙,213,85907,-16322.33
2016,湖南,常德,399,36697,-1100.91
2016,湖南,株洲,719,32674,2287.18
2016,湖南,湘潭,800,99345,10927.95
2016,湖南,衡阳,950,40562,6895.54
2016,湖南,岳阳,569,99787,-20955.27
2016,湖南,邵阳,371,85427,-3417.08
2016,湖南,益阳,58,58154,-15120.04
2016,湖南,娄底,699,71322,29955.24
2016,湖南,怀化,269,55698,20051.28
2016,湖南,郴州,970,87504,-11375.52
2016,湖南,永州,456,71046,-17761.5
2016,湖南,湘西,923,13933,2507.94
2016,湖南,张家界,268,2696,808.8
2016,广东,广州,146,59375,25531.25
2016,广东,深圳,370,75944,-3797.2
2016,广东,珠海,50,71053,4973.71
2016,广东,汕头,482,77206,22389.74
2016,广东,东莞,442,2198,0
2016,广东,中山,964,18703,-1870.3
2016,广东,佛山,775,30411,-6386.31
2016,广东,韶关,134,42174,-5904.36
2016,广东,江门,762,92424,-11090.88
2016,广东,湛江,972,5562,-1390.5
2016,广东,茂名,444,30190,301.9
2016,广东,肇庆,504,25709,1028.36
2016,广东,惠州,837,90267,8124.03
2016,广东,梅州,269,43553,12194.84
2016,广东,汕尾,563,18570,3714
2016,广东,河源,763,79087,24516.97
2016,广东,阳江,107,29664,-3263.04
2016,广东,清远,475,81704,-4902.24
2016,广东,潮州,883,65194,-16298.5
2016,广东,揭阳,125,33022,-8585.72
2016,广东,云浮,830,71213,8545.56
2016,广西,南宁,452,85274,9380.14
2016,广西,柳州,56,44318,443.18
2016,广西,桂林,136,55427,8868.32
2016,广西,梧州,336,14287,-1714.44
2016,广西,北海,208,82551,7429.59
2016,广西,防城港,304,86428,-23335.56
2016,广西,钦州,556,61695,16657.65
2016,广西,贵港,647,26689,1601.34
2016,广西,玉林,630,82801,-3312.04
2016,广西,南宁地区,521,49947,19978.8
2016,广西,柳州地区,229,53555,-1071.1
2016,广西,贺州,787,21547,7541.45
2016,广西,百色,638,54308,21723.2
2016,广西,河池,747,28942,1736.52
2016,海南,海口,909,9766,-2832.14
2016,海南,三亚,572,65197,-1303.94
2016,海南,儋州,450,95064,-11407.68
2016,海南,琼海,459,3747,487.11
2016,海南,万宁,735,2704,405.6
2016,海南,陵水,972,13283,265.66
2016,四川,成都,71,29997,2699.73
2016,四川,绵阳,815,50062,16019.84
2016,四川,德阳,960,31426,1885.56
2016,四川,自贡,581,93759,-22502.16
2016,四川,攀枝花,490,78619,11792.85
2016,四川,广元,384,42077,841.54
2016,四川,内江,933,85934,12890.1
2016,四川,乐山,61,45649,8673.31
2016,四川,南充,906,84415,5064.9
2016,四川,宜宾,766,65578,29510.1
2016,四川,广安,709,12738,2929.74
2016,四川,达川,475,49371,-11849.04
2016,四川,雅安,172,54200,13008
2016,四川,眉山,280,48767,-14630.1
2016,四川,甘孜,738,4753,1330.84
2016,四川,凉山,434,14032,-2245.12
2016,四川,泸州,685,75625,-9831.25
2016,贵州,贵阳,68,31624,-5059.84
2016,贵州,六盘水,395,43904,-13171.2
2016,贵州,遵义,223,17454,1919.94
2016,贵州,安顺,499,68435,21899.2
2016,贵州,铜仁,532,45531,1365.93
2016,贵州,黔西南,118,26298,4207.68
2016,贵州,毕节,765,18001,3780.21
2016,贵州,黔东南,950,61630,7395.6
2016,贵州,黔南,95,83077,23261.56
2016,云南,昆明,874,66682,12669.58
2016,云南,大理,169,47033,3762.64
2016,云南,曲靖,328,79969,12795.04
2016,云南,玉溪,634,26793,0
2016,云南,昭通,995,92543,20359.46
2016,云南,楚雄,408,69005,-20011.45
2016,云南,红河,856,9547,3532.39
2016,云南,文山,108,90617,-19935.74
2016,云南,思茅,244,45197,-12203.19
2016,云南,西双版纳,193,63258,-14549.34
2016,云南,保山,165,77077,-770.77
2016,云南,德宏,244,8505,2891.7
2016,云南,丽江,844,96952,27146.56
2016,云南,怒江,509,70175,11929.75
2016,云南,迪庆,150,14223,-1280.07
2016,云南,临沧,228,10604,106.04
2016,西藏,拉萨,229,45699,-13252.71
2016,西藏,日喀则,820,75962,6076.96
2016,西藏,山南,664,13087,0
2016,西藏,林芝,61,24221,6055.25
2016,西藏,昌都,317,40384,-403.84
2016,西藏,阿里,30,85328,-10239.36
2016,西藏,那曲,853,4774,2100.56
2016,陕西,西安,714,25251,252.51
2016,陕西,宝鸡,925,22802,-6156.54
2016,陕西,咸阳,358,13526,3110.98
2016,陕西,铜川,310,86156,-6030.92
2016,陕西,渭南,18,25520,3828
2016,陕西,延安,950,40745,3259.6
2016,陕西,榆林,569,64938,7143.18
2016,陕西,汉中,296,74146,8156.06
